"scientific","alphaid","kingdom","phylum","class","order","family","genus"
"Anomura spp.",106671,"Animalia","Arthropoda","Malacostraca","Decapoda","",""
"Cephea spp.",206918,"Animalia","Cnidaria","Scyphozoa","Rhizostomeae","Cepheidae","Cephea"
"Exyrias belissimus",219465,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Exyrias"
"Octopodidae spp.",11782,"Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae",""
"Littorinidae spp.",119,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae",""
"Lactophrys spp.",158929,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Ostraciidae","Lactophrys"
"Carangoides spp.",159473,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Carangoides"
"Drepane spp.",205027,"Animalia","Chordata","Actinopterygii","Perciformes","Drepaneidae","Drepane"
"Marine fishes not identified",NA,"Animalia","Chordata",NA,NA,NA,NA
"Marine pelagic fishes not identified",NA,"Animalia","Chordata",NA,NA,NA,NA
"Sillago spp.",126072,"Animalia","Chordata","Actinopterygii","Perciformes","Sillaginidae","Sillago"
"Myxinidae spp.",101162,"Animalia","Chordata","Myxini","Myxiniformes","Myxinidae",""
"Marine finfishes not identified",NA,"Animalia","Chordata",NA,NA,NA,NA
"Cephalopoda spp.",11707,"Animalia","Mollusca","Cephalopoda","","",""
"Teuthida spp.",11716,"Animalia","Mollusca","Cephalopoda","Teuthida","",""
"Sepiida spp.",11713,"Animalia","Mollusca","Cephalopoda","Sepiida","",""
"Octopoda spp.",11718,"Animalia","Mollusca","Cephalopoda","Octopoda","",""
"Holocephali spp.",10196,"Animalia","Chordata","Holocephali","","",""
"Exocoetidae spp.",125452,"Animalia","Chordata","Actinopterygii","Beloniformes","Exocoetidae",""
"Zeidae spp.",125617,"Animalia","Chordata","Actinopterygii","Zeiformes","Zeidae",""
"Caproidae spp.",125613,"Animalia","Chordata","Actinopterygii","Perciformes","Caproidae",""
"Latridae spp.",151382,"Animalia","Chordata","Actinopterygii","Perciformes","Latridae",""
"Bathydraconidae spp.",151405,"Animalia","Chordata","Actinopterygii","Perciformes","Bathydraconidae",""
"Ephippidae spp.",151426,"Animalia","Chordata","Actinopterygii","Perciformes","Ephippidae",""
"Dasyatidae spp.",105708,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae",""
"Osmeridae spp.",125513,"Animalia","Chordata","Actinopterygii","Osmeriformes","Osmeridae",""
"Synodontidae spp.",125449,"Animalia","Chordata","Actinopterygii","Aulopiformes","Synodontidae",""
"Myctophidae spp.",125498,"Animalia","Chordata","Actinopterygii","Myctophiformes","Myctophidae",""
"Macrouridae spp.",125471,"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae",""
"Stellifer rastrifer",276168,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Stellifer"
"Sphyraena guachancho",159814,"Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena"
"Harengula jaguana",277551,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Harengula"
"Elasmobranchii spp.",10193,"Animalia","Chordata","Elasmobranchii","","",""
"Pellona harroweri",277287,"Animalia","Chordata","Actinopterygii","Clupeiformes","Pristigasteridae","Pellona"
"Trachinotus cayennensis",273289,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachinotus"
"Trinectes paulistanus",276003,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Achiridae","Trinectes"
"Rhizostomatidae spp.",135238,"Animalia","Cnidaria","Scyphozoa","Rhizostomeae","Rhizostomatidae",""
"Bodianus pulchellus",273540,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus"
"Echiodon cryomargarites",234602,"Animalia","Chordata","Actinopterygii","Ophidiiformes","Carapidae","Echiodon"
"Lepidion spp.",125768,"Animalia","Chordata","Actinopterygii","Gadiformes","Moridae","Lepidion"
"Pseudorhombus spp.",204142,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Pseudorhombus"
"Bivalvia spp.",105,"Animalia","Mollusca","Bivalvia","","",""
"Lutjanus lutjanus",218495,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus"
"Pellona spp.",204395,"Animalia","Chordata","Actinopterygii","Clupeiformes","Pristigasteridae","Pellona"
"Triacanthidae spp.",154276,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Triacanthidae",""
"Selar boops",126813,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Selar"
"Rhopilema spp.",135258,"Animalia","Cnidaria","Scyphozoa","Rhizostomeae","Rhizostomatidae","Rhopilema"
"Pearls or mother-of-pearl and shells",NA,"Animalia","Mollusca",NA,NA,NA,NA
"Echinoidea spp.",123082,"Animalia","Echinodermata","Echinoidea","","",""
"Miscellaneous marine crustaceans",NA,"Animalia","Arthropoda",NA,NA,NA,NA
"Malacostraca spp.",1071,"Animalia","Arthropoda","Malacostraca","","",""
"Lamniformes spp.",10209,"Animalia","Chordata","Elasmobranchii","Lamniformes","",""
"Carcharhiniformes spp.",10210,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","",""
"Clupeiformes spp.",10297,"Animalia","Chordata","Actinopterygii","Clupeiformes","",""
"Gadiformes spp.",10313,"Animalia","Chordata","Actinopterygii","Gadiformes","",""
"Holothuroidea spp.",123083,"Animalia","Echinodermata","Holothuroidea","","",""
"Pleuronectiformes spp.",10331,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","",""
"Scyphozoa spp.",135220,"Animalia","Cnidaria","Scyphozoa","","",""
"Chimaeriformes spp.",10217,"Animalia","Chordata","Holocephali","Chimaeriformes","",""
"Archaeogastropoda spp.",110,"Animalia","Mollusca","Gastropoda","Archaeogastropoda","",""
"Stomatopoda spp.",14355,"Animalia","Arthropoda","Malacostraca","Stomatopoda","",""
