ID,Country,Localities,Total Catch,Total Value,species,Geocoded,Map Tool,Verdict,New Country,(1) Southwest Coordinate,(1) Northeast Coordinate,(2) Southwest Coordinate,(2) Northeast Coordinate,(3) Southwest Coordinate,(3) Northeast Coordinate,Latitude Range,Notes,Cumul Catch,Notes (4/13/23),Additional
35,Argentina,north Patagonia waters (43°S-45°S),9933913,6133688001,"Merluccius hubbsi (94%), Merluccius merluccius hubbsi (6%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map1398.pdf,,Google maps,,"-44.920098, -68.665425","-43.407057, -57.591206",,,,,,,1007935399,,#REF!
36,Argentina,northern coasts (35°S-38°S),9933913,6133688001,"Merluccius hubbsi (94%), Merluccius merluccius hubbsi (6%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map1399.pdf,,Google maps,,"-38.567511, -60.755269","-34.978268, -52.493550",,,,,,,1017869312,,#REF!
37,Australia,Coral Sea (off north Queensland) and off northwestern Australia,9858711,16912410426,Katsuwonus pelamis (100%),https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map1158.pdf,,Google maps,,"-20.790421, 142.176961","-10.653480, 148.680868","-21.929401, 109.935882","-10.559763, 128.480804",,,,,1027728023,,#REF!
303,,Arctic,1895564,2552969990,Reinhardtius hippoglossoides (100%),https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map1743.pdf,,FAO sheet,,,,,,,,,Match species to FAO sheet.,1029623586,,#REF!
1536,,Arctic and subarctic region.,1502,4257248,"Coregonus nasus kennicotti (60%), Salmo schokur (40%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map700.pdf,,drop,,,,,,,,,anadromous species,1029625088,,#REF!
40,Japan,Japan,9313466,4807877921,"Auxis thazard (8%), Auxis thazzard (4%), Coryphaena japonica (2%), Dentex tumifrons (0%), Engraulis japonicus (57%), Galeus nipponensis (0%), Mustelus kanekonis (0%), Pleurogrammus azonus (29%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map302.pdf,https://iridl.ldeo.columbia.edu/maproom/Global/Ocean_Temp/Annual_Cycle_Max.html?bbox=bb%3A122.933653061%3A20.422746414%3A153.986844163%3A47.747226998%3Abb,EEZ,,,,,,,,,,1038938555,,#REF!
40,Japan,Japanese waters,9313466,4807877921,Galeus eastmani (100%),https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map302.pdf,https://iridl.ldeo.columbia.edu/maproom/Global/Ocean_Temp/Annual_Cycle_Max.html?bbox=bb%3A122.933653061%3A20.422746414%3A153.986844163%3A47.747226998%3Abb,EEZ,,,,,,,,,,1048252021,,#REF!
1537,,Arctic Ocean,1502,4257248,"Coregonus nasus kennicotti (60%), Salmo schokur (40%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map701.pdf,https://iridl.ldeo.columbia.edu/maproom/Global/Ocean_Temp/Annual_Cycle_Max.html?bbox=bb%3A-180%3A60.2905190000001%3A180%3A90%3Abb,drop,,,,,,,,,anadromous species,1038940057,,#REF!
42,United States,NA,8830781,23970013826,"Mycteroperca microlepis (1%), Lutjanus griseus (1%), Lutjanus apodus (0%), Lutjanus analis (0%), Mycteroperca bonaci (0%), Lutjanus synagris (0%), Lutjanus jocu (0%), Epinephelus itajara (1%), Lutjanus campechanus (3%), Mycteroperca phenax (0%), Seriola dumerili (1%), Rhomboplites aurorubens (1%), Polyprion americanus (0%), Paralabrax clathratus (1%), Pagrus pagrus (2%), Mycteroperca interstitialis (0%), Lopholatilus chamaeleonticeps (0%), Lachnolaimus maximus (0%), Hyperoglyphe perciformis (0%), Helicolenus dactylopterus (0%), Haemulon plumierii (0%), Haemulon aurolineatum (0%), Hyporthodus niveatus (0%), Epinephelus morio (1%), Epinephelus drummondhayi (1%), Epinephelus adscensionis (0%), Diplectrum formosum (1%), Cynoscion nebulosus (4%), Ctenochaetus striatus (0%), Cephalopholis fulva (0%), Calamus nodosus (0%), Beryx  decadactylus (0%), Balistes capriscus (1%), Hippoglossus stenolepis (24%), Sciaenops ocellatus (5%), Centropomus undecimalis (2%), Gadus morhua (46%), Paralabrax nebulifer (1%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map1985.pdf,https://iridl.ldeo.columbia.edu/maproom/Global/Ocean_Temp/Annual_Cycle_Max.html?bbox=bb%3A-118.453949%3A5.49857041364627%3A-77.1563637579897%3A35.7246200000001%3Abb,EEZ,,,,,,,,,,1047770838,,#REF!
43,Seychelles,Seychelles,8810122,6563797846,"Euthynnus affinis (14%), Rastrelliger kanagurta (76%), Rastrelliger serventyi (10%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map975.pdf,,EEZ,,,,,,,,,,1056580959,,#REF!
