Mapping parameters for Pegusa nasuta (Blackhand sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  37 ,
Bounding Box (NSWE): ,46,35,-6,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,14.4,15.11,19.35,22.16
Salinity (psu),1,17.6,18.1,38.47,39.255
Primary Production,1,384,389,792,1200
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,7,127,280.5
 

Map data (HSPEC) for predicted occurrences (n = 424): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Pegusa,nasuta,37.25,9.25,1300:479:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.25,9.75,1300:479:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.75,9.25,1300:479:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.75,8.25,1300:488:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.75,8.75,1300:488:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.75,9.25,1300:489:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.25,8.25,1300:498:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.25,8.75,1300:498:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,8.25,1300:498:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,8.75,1300:498:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.25,9.25,1300:499:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.25,9.75,1300:499:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,9.75,1300:499:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,36.25,10.75,1301:360:2,0.98,1,0.98220640569395,1,1,1,1
Pegusa,nasuta,36.75,10.25,1301:360:3,0.98,1,0.98220640569395,1,1,1,1
Pegusa,nasuta,36.75,10.75,1301:360:4,0.98,1,0.98220640569395,1,1,1,1
Pegusa,nasuta,36.25,11.25,1301:361:1,0.91,1,0.90747330960854,1,1,1,1
Pegusa,nasuta,36.75,11.25,1301:361:3,0.91,1,0.90747330960854,1,1,1,1
Pegusa,nasuta,36.75,11.75,1301:361:4,0.91,1,0.90747330960854,1,1,1,1
Pegusa,nasuta,36.75,12.25,1301:362:3,0.84,1,0.84341637010676,1,1,1,1
Pegusa,nasuta,37.25,10.25,1301:370:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.25,10.75,1301:370:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.25,11.25,1301:371:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.75,12.25,1301:372:3,0.93,1,0.93238434163701,1,1,1,1
Pegusa,nasuta,37.75,12.75,1301:372:4,0.93,1,0.93238434163701,1,1,1,1
Pegusa,nasuta,37.25,13.25,1301:373:1,0.88,1,0.87900355871886,1,1,1,1
Pegusa,nasuta,37.25,13.75,1301:373:2,0.88,1,0.87900355871886,1,1,1,1
Pegusa,nasuta,37.75,13.25,1301:373:3,0.88,1,0.87900355871886,1,1,1,1
Pegusa,nasuta,38.25,12.25,1301:382:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.25,12.75,1301:382:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.25,13.25,1301:383:1,0.96,1,0.96085409252669,1,1,1,1
Pegusa,nasuta,38.25,13.75,1301:383:2,0.96,1,0.96085409252669,1,1,1,1
Pegusa,nasuta,38.25,14.75,1301:384:2,0.94,1,0.93594306049822,1,1,1,1
Pegusa,nasuta,37.25,15.25,1301:475:1,0.81,1,0.81494661921708,1,1,1,1
Pegusa,nasuta,37.75,15.25,1301:475:3,0.81,1,0.81494661921708,1,1,1,1
Pegusa,nasuta,37.75,15.75,1301:475:4,0.81,1,0.81494661921708,1,1,1,1
Pegusa,nasuta,38.25,15.25,1301:485:1,0.92,1,0.92170818505338,1,1,1,1
Pegusa,nasuta,38.25,15.75,1301:485:2,0.92,1,0.92170818505338,1,1,1,1
Pegusa,nasuta,38.75,15.75,1301:485:4,0.92,1,0.92170818505338,1,1,1,1
Pegusa,nasuta,38.25,16.25,1301:486:1,0.90,1,0.90391459074733,1,1,1,1
Pegusa,nasuta,38.25,16.75,1301:486:2,0.90,1,0.90391459074733,1,1,1,1
Pegusa,nasuta,38.75,16.25,1301:486:3,0.90,1,0.90391459074733,1,1,1,1
Pegusa,nasuta,38.75,16.75,1301:486:4,0.90,1,0.90391459074733,1,1,1,1
Pegusa,nasuta,38.75,17.25,1301:487:3,0.93,1,0.9288256227758,1,1,1,1
Pegusa,nasuta,39.75,15.25,1301:495:3,1.00,1,0.99644128113879,1,1,1,1
Pegusa,nasuta,39.75,15.75,1301:495:4,1.00,1,0.99644128113879,1,1,1,1
Pegusa,nasuta,39.25,16.25,1301:496:1,0.99,1,0.99288256227758,1,1,1,1
Pegusa,nasuta,39.75,16.75,1301:496:4,0.99,1,0.99288256227758,1,1,1,1
Pegusa,nasuta,39.25,17.25,1301:497:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,17.25,1301:497:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,18.25,1301:498:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,19.25,1301:499:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.75,21.75,1302:371:4,0.84,1,0.90035587188612,0.93630573248407,1,1,1
Pegusa,nasuta,37.25,23.75,1302:373:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.75,23.25,1302:373:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.75,23.75,1302:373:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.25,24.25,1302:374:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,37.75,24.75,1302:374:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.25,20.75,1302:380:2,0.85,1,0.90747330960854,0.93630573248407,1,1,1
Pegusa,nasuta,38.75,20.75,1302:380:4,0.80,1,0.90747330960854,0.88535031847133,1,1,1
Pegusa,nasuta,38.25,21.75,1302:381:2,0.88,1,0.93594306049822,0.93630573248407,1,1,1
Pegusa,nasuta,38.75,21.25,1302:381:3,0.88,1,0.93594306049822,0.93630573248407,1,1,1
Pegusa,nasuta,38.25,22.25,1302:382:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.25,22.75,1302:382:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.75,22.75,1302:382:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.25,23.25,1302:383:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.25,23.75,1302:383:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.75,23.25,1302:383:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.75,23.75,1302:383:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.25,24.75,1302:384:2,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.75,24.25,1302:384:3,1.00,1,1,1,1,1,1
Pegusa,nasuta,38.75,24.75,1302:384:4,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.25,20.75,1302:390:2,0.96,1,0.96085409252669,1,1,1,1
Pegusa,nasuta,39.75,20.25,1302:390:3,0.96,1,0.96085409252669,1,1,1,1
Pegusa,nasuta,39.25,21.25,1302:391:1,1.00,1,1,1,1,1,1
Pegusa,nasuta,39.75,22.75,1302:392:4,1.00,1,1,1,1,1,1
