Mapping parameters for Engraulis ringens (Anchoveta)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  87 ,
Bounding Box (NSWE): ,-5,-43,-82,-69

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,11,42,80
Temperature (°C),1,13,19.22,21.08,23
Salinity (psu),1,33.965,34.465,35.17,35.67
Primary Production,1,214,695,2300,3384.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),1,0,1,80,160
 

Map data (HSPEC) for predicted occurrences (n = 260): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Engraulis,ringens,-17.75,-72.75,5107:372:4,0.41,1,1,1,1,1,0.4125
Engraulis,ringens,-17.25,-73.25,5107:373:1,0.41,1,1,1,1,1,0.4125
Engraulis,ringens,-18.25,-71.75,5107:381:2,0.41,1,1,1,1,1,0.4125
Engraulis,ringens,-18.75,-71.25,5107:381:3,0.41,1,1,1,1,1,0.4125
Engraulis,ringens,-15.75,-75.75,5107:455:4,0.40,1,1,1,1,1,0.4
Engraulis,ringens,-15.25,-76.25,5107:456:1,0.40,1,1,1,1,1,0.4
Engraulis,ringens,-16.25,-75.25,5107:465:1,0.40,1,1,1,1,1,0.4
Engraulis,ringens,-23.75,-71.25,5207:131:3,0.40,1,0.961414790997,1,0.972972972973,1,0.425
Engraulis,ringens,-27.75,-71.75,5207:371:4,0.59,1,0.654340836013,1,1,1,0.9
Engraulis,ringens,-28.25,-71.25,5207:381:1,0.58,1,0.575562700965,1,1,1,1
Engraulis,ringens,-28.25,-71.75,5207:381:2,0.58,1,0.575562700965,1,1,1,1
Engraulis,ringens,-28.75,-71.25,5207:381:3,0.58,1,0.575562700965,1,1,1,1
Engraulis,ringens,-28.75,-71.75,5207:381:4,0.51,1,0.575562700965,0.89,1,1,1
Engraulis,ringens,-9.25,-79.25,5007:499:1,0.75,1,1,1,0.939708939709,1,0.8
Engraulis,ringens,-5.25,-81.75,5008:351:2,0.74,1,0.927083333333,1,1,1,0.8
Engraulis,ringens,-6.75,-80.75,5008:360:4,0.77,1,1,1,0.966804979253,1,0.8
Engraulis,ringens,-6.25,-81.75,5008:361:2,0.61,1,1,1,1,1,0.6125
Engraulis,ringens,-6.75,-81.25,5008:361:3,0.61,1,1,1,1,1,0.6125
Engraulis,ringens,-16.75,-73.75,5107:363:4,0.79,1,1,1,1,1,0.7875
Engraulis,ringens,-16.25,-74.75,5107:364:2,0.79,1,1,1,1,1,0.7875
Engraulis,ringens,-17.75,-72.25,5107:372:3,0.79,1,1,1,1,1,0.7875
Engraulis,ringens,-23.25,-71.25,5207:131:1,0.70,1,0.961414790997,1,1,1,0.725
Engraulis,ringens,-24.75,-71.25,5207:141:3,0.62,1,0.885852090032,1,0.948024948025,1,0.7375
Engraulis,ringens,-25.25,-71.25,5207:351:1,0.68,1,0.815112540193,1,0.956340956341,1,0.875
Engraulis,ringens,-26.25,-70.75,5207:360:2,0.77,1,0.774919614148,1,1,1,1
Engraulis,ringens,-26.75,-70.75,5207:360:4,0.77,1,0.774919614148,1,1,1,1
Engraulis,ringens,-26.25,-71.25,5207:361:1,0.74,1,0.742765273312,1,1,1,1
Engraulis,ringens,-26.75,-71.25,5207:361:3,0.74,1,0.742765273312,1,1,1,1
Engraulis,ringens,-27.25,-70.75,5207:370:2,0.70,1,0.704180064309,1,1,1,1
Engraulis,ringens,-27.75,-70.75,5207:370:4,0.70,1,0.704180064309,1,1,1,1
Engraulis,ringens,-27.25,-71.25,5207:371:1,0.65,1,0.654340836013,1,1,1,1
Engraulis,ringens,-27.75,-71.25,5207:371:3,0.65,1,0.654340836013,1,1,1,1
Engraulis,ringens,-6.75,-79.75,5007:469:4,1.00,1,1,1,1,1,1
Engraulis,ringens,-7.25,-79.75,5007:479:2,1.00,1,1,1,1,1,1
Engraulis,ringens,-7.75,-79.25,5007:479:3,1.00,1,1,1,1,1,1
Engraulis,ringens,-7.75,-79.75,5007:479:4,1.00,1,1,1,1,1,1
Engraulis,ringens,-8.25,-78.75,5007:488:2,1.00,1,1,1,1,1,1
Engraulis,ringens,-8.75,-78.75,5007:488:4,1.00,1,1,1,1,1,1
Engraulis,ringens,-8.25,-79.25,5007:489:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-8.25,-79.75,5007:489:2,0.80,1,1,1,1,1,0.8
Engraulis,ringens,-8.75,-79.25,5007:489:3,0.98,1,1,1,1,1,0.975
Engraulis,ringens,-9.25,-78.25,5007:498:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-9.25,-78.75,5007:498:2,1.00,1,1,1,1,1,1
Engraulis,ringens,-9.75,-78.25,5007:498:3,1.00,1,1,1,1,1,1
Engraulis,ringens,-9.75,-78.75,5007:498:4,0.98,1,1,1,1,1,0.975
Engraulis,ringens,-5.25,-80.75,5008:350:2,1.00,1,1,1,1,1,1
Engraulis,ringens,-5.75,-80.75,5008:350:4,1.00,1,1,1,1,1,1
Engraulis,ringens,-5.75,-81.25,5008:351:3,0.93,1,0.927083333333,1,1,1,1
Engraulis,ringens,-6.25,-80.25,5008:360:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-6.25,-80.75,5008:360:2,0.86,1,1,1,0.862609497464,1,1
Engraulis,ringens,-6.75,-80.25,5008:360:3,1.00,1,1,1,1,1,1
Engraulis,ringens,-6.25,-81.25,5008:361:1,0.85,1,1,1,0.846011987091,1,1
Engraulis,ringens,-7.25,-80.25,5008:370:1,0.96,1,1,1,1,1,0.9625
Engraulis,ringens,-7.75,-80.25,5008:370:3,0.80,1,1,1,1,1,0.8
Engraulis,ringens,-10.25,-77.75,5107:207:2,1.00,1,1,1,1,1,1
Engraulis,ringens,-10.75,-77.75,5107:207:4,1.00,1,1,1,1,1,1
Engraulis,ringens,-10.25,-78.25,5107:208:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-10.25,-78.75,5107:208:2,0.81,1,1,1,1,1,0.8125
Engraulis,ringens,-10.75,-78.25,5107:208:3,0.98,1,1,1,1,1,0.975
Engraulis,ringens,-11.25,-77.25,5107:217:1,0.98,1,1,0.98,1,1,1
Engraulis,ringens,-11.25,-77.75,5107:217:2,0.92,1,1,0.98,0.935454126325,1,1
Engraulis,ringens,-11.75,-77.25,5107:217:3,1.00,1,1,1,1,1,1
Engraulis,ringens,-11.75,-77.75,5107:217:4,0.96,1,1,0.98,1,1,0.975
Engraulis,ringens,-11.25,-78.25,5107:218:1,0.80,1,1,0.98,1,1,0.8125
Engraulis,ringens,-12.25,-76.75,5107:226:2,0.99,1,0.987138263666,1,1,1,1
Engraulis,ringens,-12.75,-76.75,5107:226:4,0.99,1,0.987138263666,1,1,1,1
Engraulis,ringens,-12.25,-77.25,5107:227:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-12.25,-77.75,5107:227:2,0.81,1,1,1,1,1,0.8125
Engraulis,ringens,-12.75,-77.25,5107:227:3,0.81,1,1,1,1,1,0.8125
Engraulis,ringens,-13.25,-76.25,5107:236:1,0.91,1,1,1,0.905025357308,1,1
Engraulis,ringens,-13.25,-76.75,5107:236:2,0.99,1,1,1,1,1,0.9875
Engraulis,ringens,-13.75,-76.25,5107:236:3,1.00,1,1,1,1,1,1
Engraulis,ringens,-13.75,-76.75,5107:236:4,0.99,1,1,1,1,1,0.9875
Engraulis,ringens,-14.25,-75.75,5107:245:2,1.00,1,1,1,1,1,1
Engraulis,ringens,-14.75,-75.25,5107:245:3,1.00,1,1,1,1,1,1
Engraulis,ringens,-14.75,-75.75,5107:245:4,1.00,1,1,1,1,1,1
Engraulis,ringens,-14.25,-76.25,5107:246:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-14.25,-76.75,5107:246:2,0.82,1,1,1,1,1,0.825
Engraulis,ringens,-14.75,-76.25,5107:246:3,0.82,1,1,1,1,1,0.825
Engraulis,ringens,-15.25,-74.75,5107:354:2,1.00,1,1,1,1,1,1
Engraulis,ringens,-15.75,-74.25,5107:354:3,1.00,1,1,1,1,1,1
Engraulis,ringens,-15.75,-74.75,5107:354:4,1.00,1,1,1,1,1,1
Engraulis,ringens,-16.75,-72.25,5107:362:3,1.00,1,1,1,1,1,1
Engraulis,ringens,-16.75,-72.75,5107:362:4,1.00,1,1,1,1,1,1
Engraulis,ringens,-16.25,-73.25,5107:363:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-16.25,-73.75,5107:363:2,1.00,1,1,1,1,1,1
Engraulis,ringens,-16.75,-73.25,5107:363:3,0.94,1,1,1,1,1,0.9375
Engraulis,ringens,-16.25,-74.25,5107:364:1,0.94,1,1,1,1,1,0.9375
Engraulis,ringens,-17.75,-70.75,5107:370:4,1.00,1,1,1,1,1,1
Engraulis,ringens,-17.25,-71.25,5107:371:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-17.25,-71.75,5107:371:2,1.00,1,1,1,1,1,1
Engraulis,ringens,-17.75,-71.25,5107:371:3,1.00,1,1,1,1,1,1
Engraulis,ringens,-17.75,-71.75,5107:371:4,0.94,1,1,1,1,1,0.9375
Engraulis,ringens,-17.25,-72.25,5107:372:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-17.25,-72.75,5107:372:2,0.84,1,1,1,1,1,0.8375
Engraulis,ringens,-18.25,-70.25,5107:380:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-18.25,-70.75,5107:380:2,1.00,1,1,1,1,1,1
Engraulis,ringens,-18.75,-70.25,5107:380:3,1.00,1,1,1,1,1,1
Engraulis,ringens,-18.75,-70.75,5107:380:4,1.00,1,1,1,1,1,1
Engraulis,ringens,-18.25,-71.25,5107:381:1,0.84,1,1,1,1,1,0.8375
Engraulis,ringens,-19.25,-70.25,5107:390:1,1.00,1,1,1,1,1,1
Engraulis,ringens,-19.25,-70.75,5107:390:2,1.00,1,1,1,1,1,1
